,index_angelo,ERCZO ID_angelo,Original Sample Vial Label_angelo,Date Collected,Time Collected_angelo,Site_angelo,Location_angelo,Sample Type_angelo,Sample Type II_angelo,Sample Type III_angelo,Tree tag_angelo,Tree tag 2_angelo,Jasper's tree label_angelo,More text info 1_angelo,More text info 2_angelo,needs attention_angelo,Species (common)_angelo,Species (scientific)_angelo,Well water level (m)_angelo,Depth (m)_angelo,Depth (cm)_angelo,Depth (ft)_angelo,Gravimetric moisture content (g/g)_angelo,Collected by_angelo,Notes_angelo,Exclude?_angelo,dD Instrument_angelo,dO Instrument_angelo,HD run ID_angelo,dD_angelo,GB run ID_angelo,dO_angelo,Sample Vial Location_angelo,VMS Sleeve_angelo,VMS Port_angelo,Adjacent well groundwater depth at time of sampling (m)_angelo,Energetic State_angelo,Date collection started_angelo,Time collection started_angelo,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_angelo","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_angelo",FLAG_angelo,datetime_angelo,index_conger,ERCZO ID_conger,Original Sample Vial Label_conger,Time Collected_conger,Site_conger,Location_conger,Sample Type_conger,Sample Type II_conger,Sample Type III_conger,Tree tag_conger,Tree tag 2_conger,Jasper's tree label_conger,More text info 1_conger,More text info 2_conger,needs attention_conger,Species (common)_conger,Species (scientific)_conger,Well water level (m)_conger,Depth (m)_conger,Depth (cm)_conger,Depth (ft)_conger,Gravimetric moisture content (g/g)_conger,Collected by_conger,Notes_conger,Exclude?_conger,dD Instrument_conger,dO Instrument_conger,HD run ID_conger,dD_conger,GB run ID_conger,dO_conger,Sample Vial Location_conger,VMS Sleeve_conger,VMS Port_conger,Adjacent well groundwater depth at time of sampling (m)_conger,Energetic State_conger,Date collection started_conger,Time collection started_conger,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_conger","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_conger",FLAG_conger,datetime_conger,average_time_delta,average_datetime,average_dD,average_dO,cumRain,cumWYRain,cumSept_1_WYRain,waterYear,Sept_1_waterYear,previousRain,runningWeightedAvg_dD,runningWeightedAvg_dO
522,5418.0,,,11/27/10,10:45,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-63.49,,-9.6,,,,,,,,,,0.0,2010-11-27 10:45:00,5200.0,,,11:50,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,27.12 mm rainfall,,,,,-59.91,,-9.28,,,,,,,,,,0.0,2010-11-27 11:50:00,-1 days +23:27:30.000000000,2010-11-27 10:12:30,-61.7,-9.44,4286.834199999797,542.5948000000011,565.5056000000011,2011.0,2011.0,27.101800000002186,-48.01308053359685,-7.5099777667984595
523,5419.0,,,12/1/10,12:55,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-27.66,,-5.79,,,,,,,,,,0.0,2010-12-01 12:55:00,5201.0,,,12:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,10.67 mm rainfall,,,,,-23.05,,-5.22,,,,,,,,,,0.0,2010-12-01 12:30:00,0 days 00:12:30.000000000,2010-12-01 13:07:30,-25.355,-5.505,4303.039399999802,558.8000000000017,581.7108000000017,2011.0,2011.0,16.20520000000488,-47.38187560038408,-7.454123439000985
784,,,,12/2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-02 12:35:00,5202.0,,,12:35,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,22.86 mm rainfall,,,,,-16.8,,-4.22,,,,,,,,,,0.0,2010-12-02 12:35:00,0 days 00:00:00.000000000,2010-12-02 12:35:00,-16.8,-4.22,4326.229599999814,581.9902000000025,604.9010000000025,2011.0,2011.0,23.190200000011828,-46.20945265588843,-7.330136258660472
524,5420.0,,,12/3/10,12:10,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-33.5,,-6.02,,,,,,,,,,0.0,2010-12-03 12:10:00,5203.0,,,12:35,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,11.18 mm rainfall,,,,,-29.04,,-5.59,,,,,,,,,,0.0,2010-12-03 12:35:00,-1 days +23:47:30.000000000,2010-12-03 11:57:30,-31.27,-5.805,4338.523199999818,594.2838000000029,617.1946000000029,2011.0,2011.0,12.293600000003607,-45.91188094160175,-7.299757808963289
525,5421.0,,,12/6/10,13:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-54.89,,-8.64,,,,,,,,,,0.0,2010-12-06 13:05:00,5204.0,,,13:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,35.81 mm rainfall,,,,,-54.83,,-8.78,,,,,,,,,,0.0,2010-12-06 13:30:00,-1 days +23:47:30.000000000,2010-12-06 12:52:30,-54.86,-8.71,4377.918599999822,633.6792000000039,656.5900000000039,2011.0,2011.0,39.395400000003974,-46.44876808510568,-7.384372340425497
526,5422.0,,,12/8/10,11:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-16.14,,-4.03,,,,,,,,,,0.0,2010-12-08 11:35:00,5205.0,,,11:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,18.8 mm rainfall,,,,,-13.7,,-3.87,,,,,,,,,,0.0,2010-12-08 11:10:00,0 days 00:12:30.000000000,2010-12-08 11:47:30,-14.92,-3.95,4398.873599999825,654.6342000000045,677.5450000000045,2011.0,2011.0,20.955000000003565,-45.473651546390954,-7.27815463917521
527,5423.0,,,12/10/10,11:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-20.04,,-4.38,,,,,,,,,,0.0,2010-12-10 11:40:00,5206.0,,,11:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,22.86 mm rainfall,,,,,-20.39,,-4.49,,,,,,,,,,0.0,2010-12-10 11:15:00,0 days 00:12:30.000000000,2010-12-10 11:52:30,-20.215,-4.4350000000000005,4423.740199999837,679.5008000000053,702.4116000000053,2011.0,2011.0,24.866600000012113,-44.57945107398453,-7.177501988862282
528,5424.0,,,12/11/10,11:25,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-41.34,,-6.52,,,,,,,,,,0.0,2010-12-11 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-11 11:25:00,0 days 00:00:00.000000000,2010-12-11 11:25:00,-41.34,-6.52,4425.69599999984,681.4566000000053,704.3674000000053,2011.0,2011.0,1.955800000002455,-44.570456168186055,-7.175676318920971
785,,,,12/14/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-14 11:40:00,5207.0,,,11:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,62.23 mm rainfall,,,,,-34.85,,-5.8,,,,,,,,,,0.0,2010-12-14 11:40:00,0 days 00:00:00.000000000,2010-12-14 11:40:00,-34.85,-5.8,4495.266599999847,751.0272000000059,773.9380000000059,2011.0,2011.0,69.57060000000729,-43.696667870035,-7.052014440433124
529,5425.0,,,1/14/11,12:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-47.83,,-7.11,,,,,,,,,,0.0,2011-01-14 12:35:00,5208.0,,,12:05,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,44.96 mm rainfall,,,,,-43.61,,-6.83,,,,,,,,,,0.0,2011-01-14 12:05:00,0 days 00:15:00.000000000,2011-01-14 12:50:00,-45.72,-6.970000000000001,4889.779399999895,1145.5400000000031,1168.450800000004,2011.0,2011.0,394.5128000000477,-44.3798206599706,-7.024323290291667
530,5426.0,,,1/30/11,12:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-54.36,,-8.42,,,,,,,,,,0.0,2011-01-30 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-30 12:40:00,0 days 00:00:00.000000000,2011-01-30 12:40:00,-54.36,-8.42,4931.689399999898,1187.4500000000016,1210.3608000000024,2011.0,2011.0,41.91000000000349,-44.725394736841416,-7.072650046167993
532,5428.0,,,2/15/11,11:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-46.7,,-7.06,,,,,,,,,,0.0,2011-02-15 11:00:00,5978.0,,Jasper Oshun_C201102151030,10:30,Angelo Reserve,Conger Road,Water,Rain,,,,,Simonin sample 10,,,,,,,,,,Oshun or Simonin,,,,,,-44.34,,-6.97,,,,,,,,,,0.0,2011-02-15 10:30:00,0 days 00:15:00.000000000,2011-02-15 11:15:00,-45.52,-7.015,5045.405199999903,1301.1657999999982,1324.076599999999,2011.0,2011.0,113.71580000000449,-44.79363789829015,-7.067698881620542
534,5429.0,,,2/16/11,13:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-36.73,,-7.3,,,,,,,,,,0.0,2011-02-16 13:30:00,5209.0,,,13:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,62.23 mm rainfall,,,,,-31.23,,-6.33,,,,,,,,,,0.0,2011-02-16 13:00:00,0 days 00:15:00.000000000,2011-02-16 13:45:00,-33.98,-6.8149999999999995,5114.975799999905,1370.7363999999952,1393.647199999996,2011.0,2011.0,69.57060000000183,-44.253823175620916,-7.055084202084954
652,5976.0,,Jasper Oshun_A201102171045,2/17/11,10:45,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,Simonin sample 14,,,,,,,,,,Oshun or Simonin,,,,,,-51.29,,-9.58,,,,,,,,,,0.0,2011-02-17 10:45:00,5210.0,,,11:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,19.3 mm rainfall,,,,,-45.22,,-8.69,,,,,,,,,,0.0,2011-02-17 11:15:00,-1 days +23:45:00.000000000,2011-02-17 10:30:00,-48.254999999999995,-9.135,5132.857399999907,1388.6179999999936,1411.5287999999944,2011.0,2011.0,17.881600000002436,-44.30451108471836,-7.081433095803594
654,5977.0,,Jasper Oshun_A201108181320,2/18/11,13:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,Simonin sample 7,,,,,,,,,,Oshun or Simonin,,,,,,-75.89,,-11.8,,,,,,,,,,0.0,2011-02-18 13:20:00,5211.0,,,13:50,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,15.24 mm rainfall,,,,,-73.35,,-11.82,,,,,,,,,,0.0,2011-02-18 13:50:00,-1 days +23:45:00.000000000,2011-02-18 13:05:00,-74.62,-11.81,5151.57719999991,1407.3377999999918,1430.2485999999926,2011.0,2011.0,18.71980000000258,-44.7012951748383,-7.14332291463172
538,5430.0,,,2/27/11,13:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-80.43,,-12.66,,,,,,,,,,0.0,2011-02-27 13:30:00,5212.0,,,13:50,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,28.96 mm rainfall,,,,,-58.34,,-9.7,,,,,,,,,,0.0,2011-02-27 13:50:00,-1 days +23:50:00.000000000,2011-02-27 13:20:00,-69.385,-11.18,5183.428799999917,1439.189399999989,1462.1001999999899,2011.0,2011.0,31.851600000007238,-45.23902541563114,-7.231261226829705
539,5431.0,,,3/1/11,3:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-34.86,,-6.52,,,,,,,,,,0.0,2011-03-01 03:35:00,5213.0,,,16:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,5.59 mm rainfall,,,,,-35.19,,-6.43,,,,,,,,,,0.0,2011-03-01 16:00:00,-1 days +17:47:30.000000000,2011-02-28 21:22:30,-35.025,-6.475,5189.296199999922,1445.0567999999876,1467.9675999999884,2011.0,2011.0,5.867400000004636,-45.19820041872813,-7.228238484963806
540,5432.0,,,3/2/11,13:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-51.2,,-7.95,,,,,,,,,,0.0,2011-03-02 13:00:00,5214.0,,,13:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,29.21 mm rainfall,,,,,-42.92,,-7.02,,,,,,,,,,0.0,2011-03-02 13:25:00,-1 days +23:47:30.000000000,2011-03-02 12:47:30,-47.06,-7.484999999999999,5220.309599999927,1476.0701999999844,1498.9809999999852,2011.0,2011.0,31.013400000005277,-45.23672041006479,-7.233550792171452
541,5433.0,,,3/5/11,12:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-24.38,,-4.64,,,,,,,,,,0.0,2011-03-05 12:40:00,5215.0,,,13:05,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,32 mm rainfall,,,,,-23.93,,-4.83,,,,,,,,,,0.0,2011-03-05 13:05:00,-1 days +23:47:30.000000000,2011-03-05 12:27:30,-24.155,-4.734999999999999,5229.529799999932,1485.2903999999826,1508.2011999999834,2011.0,2011.0,9.220200000005207,-45.10783994071828,-7.218276213412339
542,5434.0,,,3/6/11,10:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-51.09,,-7.75,,,,,,,,,,0.0,2011-03-06 10:50:00,5216.0,,,11:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,31.75 mm rainfall,,,,,-45.57,,-6.85,,,,,,,,,,0.0,2011-03-06 11:15:00,-1 days +23:47:30.000000000,2011-03-06 10:37:30,-48.33,-7.3,5265.851799999941,1521.6123999999784,1544.5231999999792,2011.0,2011.0,36.32200000000921,-45.18361432706175,-7.2201980824891105
543,5435.0,,,3/8/11,11:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-38.67,,-5.71,,,,,,,,,,0.0,2011-03-08 11:15:00,5217.0,,,12:45,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,10.67 mm rainfall,,,,,-42.14,,-6.41,,,,,,,,,,0.0,2011-03-08 12:45:00,-1 days +23:15:00.000000000,2011-03-08 10:30:00,-40.405,-6.0600000000000005,5277.307199999954,1533.0677999999746,1555.9785999999754,2011.0,2011.0,11.45540000001256,-45.14843329143421,-7.2116564912910315
544,5436.0,,,3/10/11,13:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-17.98,,-3.82,,,,,,,,,,0.0,2011-03-10 13:35:00,5218.0,,,10:55,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,29.21 mm rainfall,,,,,-21.66,,-4.82,,,,,,,,,,0.0,2011-03-10 10:55:00,0 days 01:20:00.000000000,2011-03-10 14:55:00,-19.82,-4.32,5311.393999999956,1567.1545999999737,1590.0653999999745,2011.0,2011.0,34.08680000000186,-44.60545861887142,-7.149667018098712
545,5437.0,,,3/14/11,13:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-17.89,,-3.6,,,,,,,,,,0.0,2011-03-14 13:00:00,5219.0,,,13:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,34.54 mm rainfall,,,,,-15.78,,-3.53,,,,,,,,,,0.0,2011-03-14 13:25:00,-1 days +23:47:30.000000000,2011-03-14 12:47:30,-16.835,-3.565,5349.392399999962,1605.1529999999714,1628.0637999999722,2011.0,2011.0,37.99840000000677,-43.95730650420405,-7.066002230993604
546,5438.0,,,3/15/11,17:10,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-33.96,,-5.3,,,,,,,,,,0.0,2011-03-15 17:10:00,5220.0,,,17:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,52.07 mm rainfall,,,,,-25.92,,-4.48,,,,,,,,,,0.0,2011-03-15 17:30:00,-1 days +23:50:00.000000000,2011-03-15 17:00:00,-29.94,-4.890000000000001,5406.6693999999625,1662.4299999999705,1685.3407999999713,2011.0,2011.0,57.277000000000044,-43.48092257957514,-6.992049900530468
547,5439.0,,,3/16/11,12:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-35.92,,-5.67,,,,,,,,,,0.0,2011-03-16 12:15:00,5221.0,,,11:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,31.75 mm rainfall,,,,,-44.77,,-8.16,,,,,,,,,,0.0,2011-03-16 11:40:00,0 days 00:17:30.000000000,2011-03-16 12:32:30,-40.345,-6.915,5439.917999999962,1695.6785999999693,1718.58939999997,2011.0,2011.0,33.2485999999999,-43.42025361729756,-6.990559258657093
786,,,,3/18/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-18 12:00:00,5222.0,,,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,59.94 mm rainfall,,,,,-65.19,,-9.99,,,,,,,,,,0.0,2011-03-18 12:00:00,0 days 00:00:00.000000000,2011-03-18 12:00:00,-65.19,-9.99,5507.812199999965,1763.5727999999665,1786.4835999999673,2011.0,2011.0,67.89420000000246,-44.247599311854394,-7.104551141695298
548,5440.0,,,3/19/11,11:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-47.32,,-8.6,,,,,,,,,,0.0,2011-03-19 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-19 11:20:00,0 days 00:00:00.000000000,2011-03-19 11:20:00,-47.32,-8.6,5532.958199999968,1788.7187999999646,1811.6295999999654,2011.0,2011.0,25.14600000000337,-44.29024521900015,-7.125308451573063
549,5441.0,,,3/20/11,10:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-99.43,,-13.92,,,,,,,,,,0.0,2011-03-20 10:30:00,5223.0,,,10:45,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,122.17 mm rainfall,,,,,-87.38,,-12.66,,,,,,,,,,0.0,2011-03-20 10:45:00,-1 days +23:52:30.000000000,2011-03-20 10:22:30,-93.405,-13.29,5575.147599999975,1830.9081999999607,1853.8189999999615,2011.0,2011.0,42.18940000000657,-45.40800376789712,-7.265605124340587
550,5442.0,,,3/23/11,14:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-85.94,,-12.02,,,,,,,,,,0.0,2011-03-23 14:15:00,5224.0,,,14:45,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,44.7 mm rainfall,,,,,-89.59,,-12.58,,,,,,,,,,0.0,2011-03-23 14:45:00,-1 days +23:45:00.000000000,2011-03-23 14:00:00,-87.765,-12.3,5625.439599999983,1881.2001999999566,1904.1109999999574,2011.0,2011.0,50.29200000000856,-46.52675055025648,-7.3985752017608
551,5443.0,,,3/24/11,12:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-85.31,,-12.21,,,,,,,,,,0.0,2011-03-24 12:05:00,5225.0,,,13:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,64.52 mm rainfall,,,,,-80.32,,-11.59,,,,,,,,,,0.0,2011-03-24 13:20:00,-1 days +23:22:30.000000000,2011-03-24 11:27:30,-82.815,-11.9,5691.098599999981,1946.859199999955,1969.7699999999559,2011.0,2011.0,65.65899999999783,-47.73635886524778,-7.548622695035421
552,5444.0,,,3/26/11,11:35,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-60.03,,-8.98,,,,,,,,,,0.0,2011-03-26 11:35:00,5226.0,,,12:55,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,90.17 mm rainfall,,,,,-61.47,,-9.8,,,,,,,,,,0.0,2011-03-26 12:55:00,-1 days +23:20:00.000000000,2011-03-26 10:55:00,-60.75,-9.39,5795.314799999986,2051.07539999995,2073.9861999999516,2011.0,2011.0,104.21620000000439,-48.390284251649824,-7.641150478243256
554,5446.0,,,3/27/11,10:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-21.8,,-4.32,,,,,,,,,,0.0,2011-03-27 10:40:00,5227.0,,,11:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,7.62 mm rainfall,,,,,-21.74,,-4.46,,,,,,,,,,0.0,2011-03-27 11:10:00,-1 days +23:45:00.000000000,2011-03-27 10:25:00,-21.77,-4.390000000000001,5805.6525999999885,2061.413199999948,2084.3239999999496,2011.0,2011.0,10.337800000002972,-48.25825335120596,-7.625025469168857
555,5447.0,,,4/8/11,13:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-23.69,,-4.5,,,,,,,,,,0.0,2011-04-08 13:50:00,5228.0,,,14:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,3.56 mm rainfall,,,,,-26.47,,-4.56,,,,,,,,,,0.0,2011-04-08 14:20:00,-1 days +23:45:00.000000000,2011-04-08 13:35:00,-25.08,-4.529999999999999,5821.0195999999905,2076.7801999999447,2099.690999999946,2011.0,2011.0,15.367000000002008,-48.08861876247457,-7.602373918828964
556,5448.0,,,4/12/11,13:55,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-42.76,,-7.61,,,,,,,,,,0.0,2011-04-12 13:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-12 13:55:00,0 days 00:00:00.000000000,2011-04-12 13:55:00,-42.76,-7.61,5823.813599999991,2079.5741999999436,2102.484999999945,2011.0,2011.0,2.7940000000007785,-48.08153754152776,-7.602384053156102
787,,,,4/15/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-15 14:40:00,5229.0,,,14:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,22.86 mm rainfall,,,,,-29.77,,-4.8,,,,,,,,,,0.0,2011-04-15 14:40:00,0 days 00:00:00.000000000,2011-04-15 14:40:00,-29.77,-4.8,5846.165599999996,2101.926199999938,2124.8369999999395,2011.0,2011.0,22.35200000000441,-47.88891124260305,-7.572904667981545
557,5449.0,,,4/18/11,12:45,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-57.11,,-7.9,,,,,,,,,,0.0,2011-04-18 12:45:00,5230.0,,,13:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,17.02 mm rainfall,,,,,-52.49,,-7.43,,,,,,,,,,0.0,2011-04-18 13:10:00,-1 days +23:47:30.000000000,2011-04-18 12:32:30,-54.8,-7.665,5864.885400000011,2120.645999999931,2143.5567999999325,2011.0,2011.0,18.71980000001531,-47.949266162669,-7.573708941605794
558,5450.0,,,4/25/11,13:45,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-25.65,,-3.9,,,,,,,,,,0.0,2011-04-25 13:45:00,5231.0,,,14:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,18.29 mm rainfall,,,,,-24.35,,-3.89,,,,,,,,,,0.0,2011-04-25 14:10:00,-1 days +23:47:30.000000000,2011-04-25 13:32:30,-25.0,-3.895,5895.34000000002,2151.100599999925,2174.0113999999267,2011.0,2011.0,30.454600000009123,-47.62778177612081,-7.522175812877467
560,5452.0,,,5/15/11,12:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-90.61,,-13.37,,,,,,,,,,0.0,2011-05-15 12:40:00,5232.0,,,12:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,20.32 mm rainfall,,,,,-84.09,,-12.53,,,,,,,,,,0.0,2011-05-15 12:20:00,0 days 00:10:00.000000000,2011-05-15 12:50:00,-87.35,-12.95,5916.015600000025,2171.776199999921,2194.6869999999226,2011.0,2011.0,20.675600000005034,-48.00199490770165,-7.573309993634581
561,5453.0,,,5/17/11,16:10,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-63.28,,-8.64,,,,,,,,,,0.0,2011-05-17 16:10:00,5233.0,,,16:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,8.13 mm rainfall,,,,,-49.8,,-7.14,,,,,,,,,,0.0,2011-05-17 16:30:00,-1 days +23:50:00.000000000,2011-05-17 16:00:00,-56.54,-7.890000000000001,5926.91220000003,2182.6727999999184,2205.58359999992,2011.0,2011.0,10.896600000004582,-48.04417658981461,-7.574874588294861
562,5454.0,,,5/25/11,17:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-32.93,,-5.8,,,,,,,,,,0.0,2011-05-25 17:30:00,5234.0,,,17:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,13.21 mm rainfall,,,,,-27.98,,-5.21,,,,,,,,,,0.0,2011-05-25 17:40:00,-1 days +23:55:00.000000000,2011-05-25 17:25:00,-30.455,-5.505,5941.72040000003,2197.480999999917,2220.3917999999185,2011.0,2011.0,14.808200000000397,-47.92687114634411,-7.561070215175491
563,5455.0,,,5/27/11,16:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-17.28,,-3.6,,,,,,,,,,0.0,2011-05-27 16:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-05-27 16:05:00,0 days 00:00:00.000000000,2011-05-27 16:05:00,-17.28,-3.6,5956.249200000031,2212.009799999915,2234.9205999999162,2011.0,2011.0,14.528800000000956,-47.727641580197115,-7.535320040004955
565,5457.0,,,5/28/11,7:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,,,,,,-74.69,,-9.82,,,,,,,,,,0.0,2011-05-28 07:40:00,5235.0,,,7:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,Jasper Oshun,13.21 mm rainfall,,,,,-74.03,,-9.87,,,,,,,,,,0.0,2011-05-28 07:25:00,0 days 00:07:30.000000000,2011-05-28 07:47:30,-74.36,-9.844999999999999,5956.249200000031,2212.009799999915,2234.9205999999162,2011.0,2011.0,0.0,-47.727641580197115,-7.535320040004955
