,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
106673,9864229,556630.1,4333277.78,206.16,2,418407.644269,18.0,25,1,1,3034,0,1,3,0,0,0,,,556630.088622521,4333277.694200823,-0.9113309465499019,175.9497986,206.03819274902344
18626,1540695,556630.02,4333277.39,206.03,2,417838.703999,-15.0,85,1,1,1032,0,1,1,0,0,0,,,556630.060827586,4333277.697886596,-0.8832926988560129,175.9497986,206.03819274902344
106674,9864230,556630.06,4333278.1,206.2,1,418407.644277,18.0,26,1,1,3034,0,1,3,0,0,0,,,556630.0076131221,4333277.704943149,-0.8296124035817201,175.9497986,206.03819274902344
10036,1204389,556629.94,4333277.23,205.96,2,415938.709682,-3.0,80,1,1,1025,0,0,1,0,0,0,,,556630.0030603318,4333277.705546876,-0.8250197587853457,175.9497986,206.03819274902344
108154,10382526,556629.92,4333277.4,205.99,2,422096.296587,-13.002,26,1,1,3051,0,1,3,0,0,0,,,556629.9612524881,4333277.711090843,-0.7828459354975532,175.9497986,206.03819274902344
116293,11276818,556629.9,4333277.36,205.98,2,425470.096038,6.0,23,1,1,3071,0,1,3,0,0,0,,,556629.9468106746,4333277.713005913,-0.7682777005104933,175.9497986,206.03819274902344
18627,1540696,556629.94,4333277.7,206.06,2,417838.704007,-15.0,78,1,1,1032,0,1,1,0,0,0,,,556629.9418125497,4333277.713668695,-0.7632358228296906,175.9497986,206.03819274902344
29919,2843429,556630.0,4333278.21,206.18,2,423533.2418,-6.0,74,1,1,1060,0,1,1,0,0,0,,,556629.9343153627,4333277.714662866,-0.7556730064815942,175.9497986,206.03819274902344
74196,7044064,556629.87,4333277.23,205.95,2,423534.002808,-4.998,57,1,1,2062,0,1,2,0,0,0,,,556629.9342699645,4333277.714668886,-0.7556272108148779,175.9497986,206.03819274902344
114017,10793624,556629.92,4333277.72,206.06,2,423532.560746,-6.0,24,1,1,3060,0,1,3,0,0,0,,,556629.9195518707,4333277.716620592,-0.7407802770344651,175.9497986,206.03819274902344
22748,2377744,556629.91,4333277.69,206.05,2,422096.897097,-13.002,91,1,1,1051,0,1,1,0,0,0,,,556629.913634108,4333277.717405323,-0.7348107112799122,175.9497986,206.03819274902344
116746,11277943,556629.98,4333278.28,206.17,2,425470.111438,6.0,24,1,1,3071,0,0,3,0,0,0,,,556629.9055389619,4333277.718478787,-0.7266447013251565,175.9497986,206.03819274902344
73559,7042350,556629.96,4333278.31,206.16,2,423533.98516,-4.998,74,1,1,2062,0,0,2,0,0,0,,,556629.8819751383,4333277.7216034895,-0.7028746036143355,175.9497986,206.03819274902344
10037,1204390,556629.85,4333277.53,205.96,2,415938.70969,-3.0,72,1,1,1025,0,0,1,0,0,0,,,556629.8755212447,4333277.722459314,-0.6963642136419216,175.9497986,206.03819274902344
524,440109,556629.82,4333277.32,205.92,2,409916.714622,13.998,76,1,1,1015,0,1,1,0,0,0,,,556629.8734056889,4333277.722739849,-0.6942301385926851,175.9497986,206.03819274902344
18628,1540697,556629.86,4333278.03,206.1,2,417838.704015,-15.0,72,1,1,1032,0,1,1,0,0,0,,,556629.8201912252,4333277.729796402,-0.6405498433183923,175.9497986,206.03819274902344
66253,6549650,556629.88,4333278.3,206.16,2,422097.537456,-12.0,67,1,1,2053,0,1,2,0,0,0,,,556629.8046607198,4333277.7318558395,-0.6248833862889335,175.9497986,206.03819274902344
