time,rock-temp-a-10-degc,rock-temp-a-1-degc,rock-temp-a-5-degc,rock-temp-a-4-degc,rock-temp-a-6-degc,rock-temp-a-2-degc,rock-temp-a-3-degc,rock-temp-a-7-degc,rock-temp-a-9-degc,rock-temp-a-8-degc
2019-07-21,11.60204861111111,12.914305555555556,11.111458333333333,10.990243055555556,11.38875,11.148611111111112,10.8503125,11.410590277777779,11.388854166666667,11.404895833333335
2019-07-22,11.603506944444444,12.973819444444445,11.111909722222222,10.993055555555555,11.3846875,11.167708333333334,10.85576388888889,11.406875,11.384583333333332,11.403298611111111
2019-07-23,11.604027777777778,13.018854166666666,11.11125,10.994375,11.383541666666666,11.183506944444444,10.861770833333333,11.406631944444445,11.384583333333332,11.402743055555556
2019-07-24,11.60392361111111,13.074687500000001,11.110104166666666,10.994687500000001,11.380243055555557,11.204479166666667,10.871319444444445,11.403368055555555,11.385243055555556,11.39982638888889
2019-07-25,11.6034375,13.12638888888889,11.106909722222222,10.9971875,11.376805555555556,11.227777777777778,10.884583333333332,11.40263888888889,11.384236111111111,11.3978125
2019-07-26,11.604409722222222,13.18548611111111,11.106840277777778,10.999548611111111,11.374166666666666,11.247326388888888,10.894375,11.400833333333333,11.384895833333333,11.396458333333333
2019-07-27,11.602881944444443,13.234826388888889,11.10295138888889,11.002291666666666,11.370624999999999,11.26486111111111,10.905208333333333,11.39826388888889,11.383715277777778,11.395381944444445
2019-07-28,11.601875,13.285625,11.103645833333333,11.003402777777778,11.370243055555555,11.284930555555555,10.914444444444445,11.395868055555557,11.382222222222222,11.39434027777778
2019-07-29,11.602986111111111,13.340520833333334,11.100208333333335,11.007986111111112,11.3678125,11.308090277777778,10.924652777777776,11.392118055555555,11.3834375,11.391944444444444
2019-07-30,11.603680555555554,13.393888888888888,11.098506944444445,11.008229166666666,11.366805555555555,11.332916666666668,10.935902777777777,11.390520833333333,11.384930555555556,11.389583333333333
2019-07-31,11.603090277777778,13.450416666666666,11.10107638888889,11.011944444444445,11.364895833333332,11.353090277777778,10.944131944444443,11.386666666666667,11.382743055555556,11.389479166666668
