,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
76796,10448218,556599.8,4333358.58,206.52,2,422097.443479,-10.998,24,1,1,3051,0,0,3,0,0,0,,,556599.4767000063,4333358.57642305,0.13558524826905594,176.58809628325466,206.50033569335938
46369,6627330,556599.59,4333358.57,206.51,2,422098.737323,-10.998,75,1,1,2053,0,1,2,0,0,0,,,556599.4767849287,4333358.568747403,0.1432613647235822,176.5866842667097,206.50033569335938
73296,9631229,556599.81,4333358.56,206.53,1,417837.8911510001,-9.0,25,1,1,3032,0,0,3,0,0,0,,,556599.4769224806,4333358.556314872,0.1556946567408575,176.58439717086628,206.50033569335938
76795,10448217,556599.49,4333358.55,206.5,2,422097.443471,-10.998,26,1,1,3051,0,0,3,0,0,0,,,556599.4769939396,4333358.549856102,0.16215382154609836,176.58320901177234,206.50033569335938
613,448026,556599.95,4333358.55,206.52,2,409916.832479,7.002000000000002,63,1,1,1015,0,1,1,0,0,0,,,556599.477050241,4333358.544767343,0.16724289207970783,176.58227288061352,206.50033569335938
46370,6627331,556599.29,4333358.54,206.51,2,422098.737331,-10.998,73,1,1,2053,0,1,2,0,0,0,,,556599.477080086,4333358.542069831,0.16994056997014648,176.58177664454976,206.50033569335938
46371,6627332,556598.99,4333358.52,206.48,2,422098.737339,-10.002,73,1,1,2053,0,1,2,0,0,0,,,556599.477264618,4333358.525391034,0.1866203874292718,176.5787084031599,206.50033569335938
76794,10448216,556599.2,4333358.51,206.5,2,422097.443463,-10.998,25,1,1,3051,0,0,3,0,0,0,,,556599.4774009461,4333358.513069129,0.1989430465457597,176.5764416581654,206.50033569335938
46372,6627333,556598.7,4333358.49,206.46,2,422098.737347,-10.002,82,1,1,2053,0,1,2,0,0,0,,,556599.4775609993,4333358.498602837,0.21341022371151652,176.5737804304941,206.50033569335938
58053,8108183,556598.58,4333358.47,206.42,2,426734.891182,7.997999999999998,85,1,1,2082,0,0,2,0,0,0,,,556599.4777675624,4333358.479932787,0.23208141659756484,176.57034587691155,206.50033569335938
76793,10448215,556598.89,4333358.47,206.47,2,422097.443455,-10.998,25,1,1,3051,0,0,3,0,0,0,,,556599.4778055046,4333358.476503406,0.23551100761024107,176.56971500591303,206.50033569335938
58052,8108182,556598.86,4333358.46,206.46,2,426734.891174,7.997999999999998,91,1,1,2082,0,0,2,0,0,0,,,556599.477912458,4333358.466836506,0.24517849949169027,176.56793667717534,206.50033569335938
58051,8108181,556599.15,4333358.46,206.48,2,426734.891166,7.997999999999998,87,1,1,2082,0,0,2,0,0,0,,,556599.4779479523,4333358.463628375,0.24838682656789862,176.5673465075316,206.50033569335938
12777,1527678,556599.12,4333358.45,206.49,1,417838.531269,-9.0,55,1,1,1032,0,0,1,0,0,0,,,556599.4780549057,4333358.453961475,0.25805431844934784,176.56556817879394,206.50033569335938
7309,1211911,556599.41,4333358.45,206.5,1,415938.805507,-9.0,58,1,1,1025,0,1,1,0,0,0,,,556599.4780904001,4333358.450753344,0.2612626455255562,176.5649780091502,206.50033569335938
58050,8108180,556599.44,4333358.45,206.49,2,426734.891158,7.997999999999998,87,1,1,2082,0,0,2,0,0,0,,,556599.4780940718,4333358.450421468,0.2615945414289701,176.56491695711827,206.50033569335938
76792,10448214,556598.6,4333358.44,206.43,2,422097.443447,-10.998,25,1,1,3051,0,0,3,0,0,0,,,556599.4781018859,4333358.449715209,0.26230084389248576,176.56478703324723,206.50033569335938
58049,8108179,556599.73,4333358.44,206.51,2,426734.89115,7.997999999999998,83,1,1,2082,0,0,2,0,0,0,,,556599.4782401915,4333358.437214562,0.2748022562913295,176.5624874067047,206.50033569335938
58048,8108178,556600.02,4333358.43,206.5,2,426734.891142,7.997999999999998,83,1,1,2082,0,0,2,0,0,0,,,556599.478386311,4333358.424007654,0.28800997208495444,176.5600578561198,206.50033569335938
42688,5681805,556600.18,4333358.43,206.51,2,417839.186827,-7.997999999999998,77,1,1,2034,0,1,2,0,0,0,,,556599.4784058941,4333358.422237651,0.2897800835754095,176.55973224528185,206.50033569335938
36084,4878114,556599.97,4333358.42,206.53,1,415212.364481,9.0,76,1,1,2024,0,1,2,0,0,0,,,556599.4784908164,4333358.414562005,0.2974562000299358,176.5583202287369,206.50033569335938
26310,3524364,556600.37,4333358.42,206.51,1,425471.831356,7.997999999999998,70,1,1,1071,0,0,1,0,0,0,,,556599.4785397742,4333358.410136997,0.30188147875542953,176.55750620164216,206.50033569335938
58047,8108177,556600.31,4333358.41,206.49,2,426734.891134,7.997999999999998,86,1,1,2082,0,0,2,0,0,0,,,556599.4786430558,4333358.400801972,0.3112170747334648,176.5557889249364,206.50033569335938
26309,3524363,556600.08,4333358.4,206.51,2,425471.831348,7.997999999999998,68,1,1,1071,0,0,1,0,0,0,,,556599.4787255302,4333358.393347575,0.3186719272515232,176.5544176097462,206.50033569335938
