Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
B7,10.63390708,14.42024307,13.80477149,13.61586692,16.80453462,12.66548756,11.44487287,11.24498856,12.06265237,12.51136012,12.15583378,13.40838513,,,,,,12.22929929,12.66155769,11.09169102,12.39652133,12.31580805,12.82627057,12.90900733,11.61879473,12.71410607,12.23548754,17.32792019,17.22669945,19.98551926,11.97365689,,13.66460642,,,,,
B8,11.37861234,14.61705852,16.98138029,14.61179423,15.78539619,9.067090014,11.82534811,9.620285089,11.59011869,10.78723575,11.09458774,11.49890473,14.36099094,,,,11.47311738,10.57682652,11.69167595,9.679980569,11.02238799,10.58095684,11.06687175,10.76782168,10.16047257,10.87855226,10.59948535,15.17641785,14.63253994,15.69221616,10.06890965,10.35516722,11.12677022,9.845568683,,10.23382341,,
B9,8.628447725,10.10841518,13.23810576,10.85142753,13.85294119,7.783040376,7.703771668,7.759893899,7.411505778,7.245716388,8.83118469,8.416733946,9.095657897,7.100397262,8.236270818,7.96695358,6.864827522,7.703823634,7.994025082,7.068783726,7.932031689,7.512900376,7.260090518,7.769627263,6.94970497,7.89989978,7.801805592,10.48013895,12.38860436,13.73757708,7.826504805,6.986335548,7.903794986,6.869251982,6.785237624,6.582068411,7.282667845,
B10,8.793124753,11.84387364,5.339795337,9.254582849,13.42993047,9.162192991,7.529453756,7.488321137,8.001316467,7.320074791,8.413569435,10.40941915,9.534989309,7.57,8.787430436,7.99709346,8.278101198,8.144656896,7.922731811,7.647582464,8.021739823,7.730572873,8.024796095,8.241529207,7.223700656,7.854260036,7.385326396,10.4152755,11.09533742,11.76128404,7.356239017,7.725301824,9.203560214,7.5845817,7.324681408,6.984007344,7.917303858,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
